#Temperature,GStar,GStarEntropic
646857.7762302,223.99842101214,223.99842101214
584721.199935937,223.997976634937,223.997976634937
528554.711451668,223.997432810794,223.997432810794
477784.91371351,223.996767157778,223.996767157778
431893.516142708,223.995951597974,223.995951597974
390412.043283241,223.994954657663,223.994954657663
352917.052693864,223.993735184513,223.993735184513
319025.814204355,223.992243381456,223.992243381456
288392.405188055,223.990418422131,223.990418422131
260704.178130174,223.988185988165,223.988185988165
235678.574368572,223.985451335823,223.985451335823
213060.238162439,223.982108596711,223.982108596711
192618.418577983,223.978023222966,223.978023222966
174144.605681424,223.97302945595,223.97302945595
157450.420653476,223.966926168627,223.966926168627
142365.684150309,223.959469078873,223.959469078873
128736.692524496,223.950339739496,223.950339739496
116424.646684162,223.93921679998,223.93921679998
105304.239174056,223.925652540641,223.925652540641
95262.3803373777,223.908301483279,223.908301483279
86220.0247551221,223.888354411101,223.888354411101
78036.9904342527,223.864503876501,223.864503876501
70655.7001125886,223.834790459315,223.834790459315
64001.6156190928,223.798798247071,223.798798247071
58007.386194433,223.755288479474,223.755288479474
52612.4619139319,223.702713041541,223.702713041541
47772.7566613313,223.639893031224,223.639893031224
43417.3527642931,223.564813266769,223.564813266769
39513.9809764251,223.475762888711,223.475762888711
36021.6613306863,223.370240982534,223.370240982534
32904.4989977843,223.247540038651,223.247540038651
30141.5826681954,223.106393060821,223.106393060821
27685.9815949651,222.94437500912,222.94437500912
25500.6754715501,222.760491147847,222.760491147847
23569.9558999211,222.555073816235,222.555073816235
21867.7979108081,222.32880091484,222.32880091484
20371.8516528492,222.083560099143,222.083560099143
19055.2922049315,221.820179492438,221.820179492438
17893.0621583504,221.540471222258,221.540471222258
16863.6435097932,221.245909423402,221.245909423402
15952.2905068215,220.93915689865,220.93915689865
15133.3487650717,220.618274531444,220.618274531444
14393.5361712076,220.283408152487,220.283408152487
13722.9590941347,219.935528253351,219.935528253351
13111.1316895257,219.574409323175,219.574409323175
12548.7268308366,219.199002632977,219.199002632977
12025.0788401437,218.805665730203,218.805665730203
11537.5377383161,218.395043309093,218.395043309093
11080.5605124274,217.965515069943,217.965515069943
10649.5437529439,217.514303155115,217.514303155115
10239.6601126314,217.037818797344,217.037818797344
9850.46718533746,216.536357894611,216.536357894611
9480.80041613765,216.009275119106,216.009275119106
9127.04681287063,215.452649670896,215.452649670896
8787.40252612514,214.863025849478,214.863025849478
8464.0312651875,214.245121705904,214.245121705904
8151.47943527996,213.588156940691,213.588156940691
7854.26315090949,212.902450587038,212.902450587038
7568.63696546316,212.18000184766,212.18000184766
7293.93439354779,211.419374768058,211.419374768058
7027.8284135439,210.613623897467,210.613623897467
6773.58847862784,209.772773907718,209.772773907718
6529.06446543147,208.890616539099,208.890616539099
6292.94228418499,207.963243013399,207.963243013399
6067.26317746802,206.999334700157,206.999334700157
5849.62235720644,205.990177861612,205.990177861612
5638.87366241479,204.930951690835,204.930951690835
5436.30542430157,203.828731254699,203.828731254699
5242.57745314308,202.689498434358,202.689498434358
5055.78655717911,201.505205127917,201.505205127917
